model_tag,target,experiment,learner,cv,R2_mean,R2_std,R2_median,R2_min,R2_max,MAE_mean,MAE_std,MAE_median,MAE_min,MAE_max,RMSE_mean,RMSE_std,RMSE_median,RMSE_min,RMSE_max,MRE_mean,MRE_std,MRE_median,MRE_min,MRE_max,ΔR2_mean,ΔR2_std,ΔR2_median,ΔR2_min,ΔR2_max,ΔMAE_mean,ΔMAE_std,ΔMAE_median,ΔMAE_min,ΔMAE_max,ΔRMSE_mean,ΔRMSE_std,ΔRMSE_median,ΔRMSE_min,ΔRMSE_max,ΔMRE_mean,ΔMRE_std,ΔMRE_median,ΔMRE_min,ΔMRE_max
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,M1_no_interaction,dcpl_gate=ridge,split80_20,0.5853448832587415,0.02225649184692667,0.5833830439819649,0.52996335268203,0.6197585932713245,133.9620116347282,1.622061606169239,133.856310383245,130.72666786698468,137.52365134506226,379.1020090826834,11.494626825229144,381.2024495986707,352.8660273389552,403.86542963816026,227.22418291300633,7.613077075620131,226.02613226561903,214.59799848240584,244.74762702663844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,M2a_add_AIxNonAI,dcpl_gate=ridge,split80_20,0.585333917084775,0.02225221142057559,0.583334048808899,0.5299752893577623,0.619755323493015,133.95211032932403,1.7748974292092086,133.7509305044316,129.7899787551934,137.5038749508092,379.1072163890643,11.497648041412113,381.20848300375894,352.8695223610985,403.8823316440177,225.66465630490123,7.76130780474051,225.93524630880705,209.24404413018317,238.47906381306137,-1.0966173966400931e-05,4.990002680626342e-05,-4.26405371661831e-06,-0.0001524031240586,0.0001480127354589,-0.009901305404180029,0.5757232970391533,0.027307347589740454,-2.0481132319505093,1.2378519565146746,0.00520730638091133,0.022560549809913576,0.00188536297022775,-0.0634468892505992,0.0711159596016273,-1.5595266081051098,3.8274094921963604,-0.3400571942694768,-13.90229298949285,2.0063664925217495
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,M2b_add_AIxN_and_AIxW,dcpl_gate=ridge,split80_20,0.5856619832228719,0.021650890106902784,0.5844822883268241,0.5323495899975274,0.6194256778534182,133.9023558022595,1.757722935574146,133.9237451970577,129.90579204922332,137.3093385067965,378.9573014643159,11.036658001690236,380.8222129919877,354.05429810147433,402.9114970836745,225.64758699976704,7.81488426184059,226.1110245882208,208.95412353834777,239.04888519308685,0.00031709996413046063,0.00189735187717754,0.0005600718527814001,-0.005563733097486,0.004467893516067,-0.05965583246870664,0.6184732466473505,0.0012643920483271006,-1.9322999379205896,1.324160110661893,-0.14470761836749943,0.8772926523593376,-0.2590522843784129,-2.042103031675765,2.5943531920373744,-1.5765959132393117,3.937316658462888,-0.44454481147300834,-14.551059193620915,2.02086383585629
data_EleutherAI_gpt-neox-20b,Target_throughput_tokens_per_sec,M3_full,dcpl_gate=ridge,split80_20,0.5992034657442353,0.023165861940732703,0.5986308932937532,0.5384846909281505,0.6359267443296575,130.17843656576375,1.6598848689898005,130.43665009291408,127.44546990369544,133.35513708242993,372.6777586968501,11.432999650256944,373.5226227552939,346.6049334722369,398.41501577118447,175.50441268251456,5.700249823251261,175.78789159038251,164.21259069576772,184.0133440292377,0.013858582485493895,0.0039158898769654366,0.01432813035588,0.0039620637985269,0.0210044907456912,-3.783575068964481,0.5072088319751669,-3.720513132739015,-4.752403005619925,-2.9382174654808466,-6.424250385833318,1.9028485910584807,-6.565370207776624,-9.92185691131482,-1.8000827097774843,-51.719770230491804,7.670439442605948,-50.498356182333,-68.27996295849434,-38.77336714103171
data_Salesforce_codegen2-16B,Target_throughput_tokens_per_sec,M1_no_interaction,dcpl_gate=ridge,split80_20,0.3167529832700396,0.09571838776622052,0.33608342716538153,-0.0139977610497794,0.429071029471,125.05621706087665,8.628377212332573,123.27231177000904,113.63793000844426,150.75893154221356,328.1911809679465,38.582205902674225,325.9878655613933,272.0838210614934,406.0786884218698,656.5625320307304,106.85129286042283,636.260610253812,502.01523960302205,1005.5058832968916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data_Salesforce_codegen2-16B,Target_throughput_tokens_per_sec,M2a_add_AIxNonAI,dcpl_gate=ridge,split80_20,0.31461848853582197,0.0969000585807267,0.3315617959783182,-0.0186508050070237,0.4294362752529588,126.63458027503106,15.414952075661871,123.62262567521702,101.74369433243734,195.2303009543062,328.6861016132706,38.74895687904831,325.93917108847836,272.7233885492161,406.009512061101,678.6056453780831,238.93991745298834,645.4090168362543,224.68704887965148,1759.5791675675837,-0.0021344947342176275,0.009605392350919532,8.808824942196924e-06,-0.0520053514906997,0.0010774757048794,1.578363214154398,8.874234025198495,0.25836242891706007,-12.652083541187366,44.47136941209263,0.494920645324108,2.3584770693252213,-0.002185576481537,-0.290688130363776,12.82244059661923,22.043113347352595,181.50349094089518,6.725564349169815,-510.67576668465085,754.0732842706917
data_Salesforce_codegen2-16B,Target_throughput_tokens_per_sec,M2b_add_AIxN_and_AIxW,dcpl_gate=ridge,split80_20,0.3194798574276422,0.09772772548245486,0.34658345619093256,-0.0143347525044894,0.4410109292575469,126.0442359939061,14.928985037217283,123.19352066515772,100.04545611835216,190.2403308944895,327.5343276250347,39.07933939008754,325.8715710397687,264.6314355867517,401.9088735723545,669.2718609039299,231.2803490354318,648.01366339897,223.9882839584064,1684.8267752749014,0.0027268741576025766,0.01289815460482849,0.00163370831935935,-0.0399020397210497,0.0355152205175691,0.988018933029457,8.316055126554394,-0.04292622258423505,-14.350321755272546,39.48139935227593,-0.6568533429118057,3.129432985779179,-0.4561357553281482,-7.452385474741675,9.879355861052034,12.709328873199487,174.33206574047298,-3.3517695544017556,-511.37453160589587,679.3208919780096
data_Salesforce_codegen2-16B,Target_throughput_tokens_per_sec,M3_full,dcpl_gate=ridge,split80_20,0.3191445012641278,0.09825731719917974,0.34595010598415976,-0.0087983234884971,0.4375898665867073,125.95917960273955,14.788873385955267,123.18837733822086,99.5724487392375,189.1795478948291,327.64309778086215,39.43544008730996,326.82049351931744,263.12589294585734,402.8722657322814,665.6288083871704,229.78666061507923,637.9038572010527,204.6506700534624,1662.1260807689173,0.0023915179940881765,0.015261994342789364,0.00124062304956725,-0.0414134684091644,0.0425703111507451,0.9029625418628981,8.129023391575274,-0.12571941587788865,-14.823329134387208,38.42061635261558,-0.5480831870843588,3.6644695861949197,-0.32451229417276295,-8.957928115636037,10.248204225142215,9.066276356439941,173.31724712642384,-2.2527010260128577,-530.71214551084,656.6201974720256
data_bigcode_starcoder,Target_throughput_tokens_per_sec,M1_no_interaction,dcpl_gate=ridge,split80_20,0.6015677036568234,0.015272819092480013,0.5993898943759246,0.5787995782842843,0.6434091625727756,139.10852584062303,1.4830255229222344,139.115188773247,135.76399045711997,142.46632252514826,389.4264599358138,10.886683832003138,390.8161810391128,360.4164211665177,414.5887987323901,141.53045803062614,2.2256064119110297,141.52312263532897,135.8542245710151,146.81835695175846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data_bigcode_starcoder,Target_throughput_tokens_per_sec,M2a_add_AIxNonAI,dcpl_gate=ridge,split80_20,0.6015603647599005,0.015271166351995746,0.5994080000877121,0.5787981656569865,0.6434192301362776,139.03045976267157,1.486790104463764,138.9967953039705,135.57964611686245,142.42425357353062,389.43003684359604,10.885164782782564,390.81551492039125,360.41133334535465,414.58815505923934,141.12491130317773,2.607924383213202,141.1098254654093,136.659052806464,146.88653565782883,-7.338896922890468e-06,2.820243070206078e-05,-2.8162059865777245e-06,-0.0001108264570993,5.6353842645018304e-05,-0.07806607795145434,0.5427797139174727,-0.06906590512414815,-1.122637818578795,1.386057695179062,0.0035769077822616602,0.013546070596009398,0.0013770439269933,-0.027939021594534,0.0518611535720197,-0.40554672744841297,1.5087528392314202,-0.09761409116437389,-3.757987771339572,3.222670630858943
data_bigcode_starcoder,Target_throughput_tokens_per_sec,M2b_add_AIxN_and_AIxW,dcpl_gate=ridge,split80_20,0.6019975360409341,0.015531326375493159,0.5991489686576801,0.5815443579845416,0.6452991747967896,138.9801077073542,1.5090781218441907,139.047106042822,135.51491319890482,142.43265902966695,389.2165773410658,11.091231547068299,390.8153029460949,359.46000783871875,415.1191409451972,141.11069752940836,2.5937911024945173,141.16766698366933,136.67532646855366,147.01455507389352,0.0004298323841106087,0.0012814282355765258,0.00056263111871235,-0.0025368806026423,0.0027447797002573,-0.12841813326885282,0.5357028425609127,-0.0595799338132678,-1.3112963431152025,1.2434466440617769,-0.20988259474801224,0.6267690162701142,-0.26110349264820343,-1.34439262025694,1.2049231396028404,-0.4197605012177879,1.490930995688958,-0.11976392397950515,-3.9064966617274024,2.7457658986637057
data_bigcode_starcoder,Target_throughput_tokens_per_sec,M3_full,dcpl_gate=ridge,split80_20,0.6310861206272095,0.015453577240473252,0.6305765487205991,0.6017488077810226,0.6687403225858797,130.74203309361516,1.6051067696571748,130.72699819815762,127.20220396521964,134.54202240554164,374.7125622023471,10.999793451937219,376.4580303098027,347.3791653267031,398.4021155009973,112.38920178324231,2.2883469181872163,111.89672322600062,108.50852894245202,117.27031007967403,0.029518416970385906,0.005501323612432211,0.0303293034837418,0.0187099903059472,0.0454339448464096,-8.366492747007873,0.5901608478750876,-8.372754589216697,-9.461287860038285,-7.104174617437138,-14.713897733466643,2.7403411173405727,-14.62575795941683,-22.189494503340597,-8.74763166451612,-29.141256247383822,2.1825098353430143,-28.996696979854953,-33.34488935478866,-23.974433518074264
data_bigscience_mt0-xxl,Target_throughput_tokens_per_sec,M1_no_interaction,dcpl_gate=ridge,split80_20,0.38250079727287595,0.04617306226461419,0.3871979986675115,0.2571180324012851,0.4700928844938042,163.92039160325868,8.218390315970703,164.08312813122825,148.1550845501954,182.87964235098016,413.05914490501357,39.61678659438393,408.039324261548,344.60180559903057,511.18445982399544,279.0298459257355,17.08934637014646,280.2153748881931,240.9071334618754,324.21364008823423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data_bigscience_mt0-xxl,Target_throughput_tokens_per_sec,M2a_add_AIxNonAI,dcpl_gate=ridge,split80_20,0.3823753294276127,0.04632259785242779,0.38673902640313923,0.2565841142270312,0.470062339826057,163.79001359610888,8.229744609136215,163.00447878180864,146.4773088177856,181.73303476553036,413.09925807727717,39.6385620630824,408.0624098566236,344.5003223313653,511.392855706939,278.6307940396002,16.43494311302956,278.91714957568513,240.57509694106764,317.5846028509455,-0.0001254678452632181,0.0003600052989046567,-2.0245243005756475e-05,-0.0013267865791264,0.0007347775108014,-0.1303780071498077,1.2251135458805835,0.006602853579309449,-2.8282557336371212,3.064670140566875,0.04011317226357769,0.11667610749179083,0.00747684384842265,-0.2497026939613533,0.4139817747228562,-0.3990518861353129,7.18230932033429,-0.5652499529484771,-15.707535541188747,15.106914914386834
data_bigscience_mt0-xxl,Target_throughput_tokens_per_sec,M2b_add_AIxN_and_AIxW,dcpl_gate=ridge,split80_20,0.38133110743358645,0.046222795124151686,0.3912820349385629,0.2540072382380135,0.4647122088103822,163.7002142511355,8.195609570606965,162.86220436642662,146.20965008206375,181.60515067384796,413.4290559430175,39.36102154289536,410.0152738025091,344.4187461450604,512.5003120764611,276.72102917057896,15.875778470208749,276.4524544140432,240.1087327571882,315.3239829467792,-0.0011696898392895164,0.00627569225738747,-0.0013396945740729,-0.0174332115550269,0.0161995357388553,-0.2201773521231947,1.4359860965279772,-0.1692560023764571,-2.9142935800446708,3.152412225124749,0.36991103800393527,2.1182605728211383,0.4263523598772849,-6.302767753829812,5.2839539737558425,-2.3088167551565446,7.212945164441532,-1.9242262357095399,-17.31049110037543,11.716128658736809
data_bigscience_mt0-xxl,Target_throughput_tokens_per_sec,M3_full,dcpl_gate=ridge,split80_20,0.3897980130995908,0.049245864721134854,0.39253526008198514,0.2499829611960452,0.482037008938468,164.34077810877002,8.45902407559263,164.80328753429953,148.2118202980999,181.750968600106,410.57916368279604,39.92741662047409,406.5182808104074,345.3690005377088,505.7799565567038,264.0008423683578,16.730887059330154,266.06542952774055,230.84735970810297,301.30196531991504,0.00729721582671483,0.018359666220400177,0.01113423150199825,-0.0383022781619944,0.043703459582682,0.4203865055113691,1.9136850913403631,0.32298297707136214,-3.3523654946827435,5.76745907726081,-2.4799812222175546,6.10267561144903,-3.798621678242114,-14.211944582982142,13.499210557404922,-15.029003557377761,8.646057597458297,-14.913523049325335,-30.70221962342214,2.4546996218379036
data_google_flan-t5-xl,Target_throughput_tokens_per_sec,M1_no_interaction,dcpl_gate=ridge,split80_20,0.6398662757372597,0.015401699124380908,0.6417726522384514,0.6003941472549605,0.6709686633988398,87.76915306196138,0.9615610292451039,87.51261649726347,85.89383117051466,89.88501626171674,260.7897712035042,8.435170042708524,260.18012315262814,242.87627208891843,281.07243614467706,146.5604179489903,2.130590707639842,145.95803005639945,142.8635851657709,151.5977909865921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
data_google_flan-t5-xl,Target_throughput_tokens_per_sec,M2a_add_AIxNonAI,dcpl_gate=ridge,split80_20,0.6398597711055695,0.015398686216417,0.641753973434773,0.6004276544882179,0.670968576880567,87.77233560979059,1.0165362618867364,87.4981827293121,85.89538006041255,89.96581231098496,260.79218156487406,8.435541314524432,260.1857167725738,242.87630402088337,281.0748224204774,146.72180552347356,2.2349637536410696,146.11495115620767,143.53861888990528,151.88851535684284,-6.5046316903146405e-06,2.00576608726318e-05,-1.635351006445962e-06,-6.231541472634383e-05,3.350723325734606e-05,0.003182547829207754,0.14996136684524217,0.00607869779131675,-0.4507768590042502,0.3609269409470812,0.002410361369893116,0.007151656179022973,0.0005835617260032001,-0.0109906160060404,0.0220040367810838,0.16138757448324745,1.1302516356165326,0.12050987347082295,-2.897383024763343,2.906286544609344
data_google_flan-t5-xl,Target_throughput_tokens_per_sec,M2b_add_AIxN_and_AIxW,dcpl_gate=ridge,split80_20,0.6399168979200174,0.015409779179213694,0.6412220753711333,0.6004360460191781,0.670780065742171,87.76950846552674,1.0441268676299724,87.47577532798782,85.8978181479262,89.98672836747126,260.7767086674273,8.609681543105046,260.2416451122284,242.94586931065004,281.19205585208755,146.71274732281225,2.273076084555576,146.02574404819114,143.544298667904,152.06080301967722,5.062218275769923e-05,0.0016423216248852505,-0.00013441352393685002,-0.0020060020351683,0.0064315691061913,0.0003554035653602655,0.17300857671398173,0.0087785641021298,-0.449173897138678,0.3714872864020435,-0.013062536076932007,0.5974950987941491,0.05026385911894235,-2.3700587035482386,0.752334649698355,0.15232937382189296,1.144873167850775,0.09958318602171795,-2.8817982288898634,2.9264886654640634
