run_id,run_dir,meta_run_name,meta_data_path,meta_targets,meta_cv_mode,meta_gate_kind,meta_inner_splits,meta_artifacts,meta_model_kind,meta_target,meta_test_size,meta_random_state,meta_data_shape,meta_n_ai,meta_n_nonai,meta_n_workload,meta_include_interactions,meta_interaction_shapes,meta_run_id,meta_kind,meta_per_model_dir,meta_global_summary,meta_n_models
2025-12-17_174446,results/runs/2025-12-17_174446,M2_gated_full,data/llm_pilot_data/final_data/historical_performance_data_enriched_final.csv,"['throughput', 'median_nttft', 'median_itl']",logo_model,ridge,5.0,"{'summary': 'results/runs/2025-12-17_174446/summary.csv', 'predictions_dir': 'results/runs/2025-12-17_174446/predictions'}",,,,,,,,,,,,,,,
2025-12-17_174944,results/runs/2025-12-17_174944,baseline,data/llm_pilot_data/final_data/historical_performance_data_enriched_final.csv,"['throughput', 'median_nttft', 'median_itl']",logo_model,,,"{'summary': 'results/runs/2025-12-17_174944/summary.csv', 'predictions_dir': 'results/runs/2025-12-17_174944/predictions'}",rf_light,,,,,,,,,,,,,,
2025-12-17_174946,results/runs/2025-12-17_174946,baseline,data/llm_pilot_data/final_data/historical_performance_data_enriched_final.csv,"['throughput', 'median_nttft', 'median_itl']",logo_model,,,"{'summary': 'results/runs/2025-12-17_174946/summary.csv', 'predictions_dir': 'results/runs/2025-12-17_174946/predictions'}",ridge,,,,,,,,,,,,,,
2025-12-17_174947,results/runs/2025-12-17_174947,baseline,data/llm_pilot_data/final_data/historical_performance_data_enriched_final.csv,"['throughput', 'median_nttft', 'median_itl']",logo_model,,,"{'summary': 'results/runs/2025-12-17_174947/summary.csv', 'predictions_dir': 'results/runs/2025-12-17_174947/predictions'}",nn,,,,,,,,,,,,,,
2025-12-17_174956,results/runs/2025-12-17_174956,baseline,data/llm_pilot_data/final_data/historical_performance_data_enriched_final.csv,"['throughput', 'median_nttft', 'median_itl']",logo_model,,,"{'summary': 'results/runs/2025-12-17_174956/summary.csv', 'predictions_dir': 'results/runs/2025-12-17_174956/predictions'}",lr,,,,,,,,,,,,,,
2025-12-18_003137,results/runs/2025-12-18_003137,baseline,data/llm_pilot_data/final_data/historical_performance_data_enriched_final.csv,"['throughput', 'median_nttft', 'median_itl']",logo_model,,,"{'summary': 'results/runs/2025-12-18_003137/summary.csv', 'predictions_dir': 'results/runs/2025-12-18_003137/predictions'}",llm_pilot,,,,,,,,,,,,,,
2026-01-13_104433,results/runs/2026-01-13_104433,baseline_split80_permodel_lr__data_EleutherAI_gpt-neox-20b,data/llm_pilot_data/raw_data/per_model/data_EleutherAI_gpt-neox-20b.csv,,,,,"{'summary': 'results/runs/2026-01-13_104433/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104433/predictions'}",lr,Target_throughput_tokens_per_sec,0.2,42.0,,,,,,,,,,,
2026-01-13_104434,results/runs/2026-01-13_104434,baseline_split80_permodel_lr__data_Salesforce_codegen2-16B,data/llm_pilot_data/raw_data/per_model/data_Salesforce_codegen2-16B.csv,,,,,"{'summary': 'results/runs/2026-01-13_104434/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104434/predictions'}",lr,Target_throughput_tokens_per_sec,0.2,42.0,,,,,,,,,,,
2026-01-13_104642,results/runs/2026-01-13_104642,baseline_split80_permodel_lr__data_EleutherAI_gpt-neox-20b,data/llm_pilot_data/raw_data/per_model/data_EleutherAI_gpt-neox-20b.csv,,,,,"{'summary': 'results/runs/2026-01-13_104642/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104642/predictions'}",lr,Target_throughput_tokens_per_sec,0.2,42.0,"[89719, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_104642_1,results/runs/2026-01-13_104642_1,baseline_split80_permodel_lr__data_Salesforce_codegen2-16B,data/llm_pilot_data/raw_data/per_model/data_Salesforce_codegen2-16B.csv,,,,,"{'summary': 'results/runs/2026-01-13_104642_1/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104642_1/predictions'}",lr,Target_throughput_tokens_per_sec,0.2,42.0,"[6025, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_104642_2,results/runs/2026-01-13_104642_2,baseline_split80_permodel_lr__data_bigcode_starcoder,data/llm_pilot_data/raw_data/per_model/data_bigcode_starcoder.csv,,,,,"{'summary': 'results/runs/2026-01-13_104642_2/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104642_2/predictions'}",lr,Target_throughput_tokens_per_sec,0.2,42.0,"[134772, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_104643,results/runs/2026-01-13_104643,baseline_split80_permodel_lr__data_bigscience_mt0-xxl,data/llm_pilot_data/raw_data/per_model/data_bigscience_mt0-xxl.csv,,,,,"{'summary': 'results/runs/2026-01-13_104643/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104643/predictions'}",lr,Target_throughput_tokens_per_sec,0.2,42.0,"[10706, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_104643_1,results/runs/2026-01-13_104643_1,baseline_split80_permodel_lr__data_google_flan-t5-xl,data/llm_pilot_data/raw_data/per_model/data_google_flan-t5-xl.csv,,,,,"{'summary': 'results/runs/2026-01-13_104643_1/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104643_1/predictions'}",lr,Target_throughput_tokens_per_sec,0.2,42.0,"[138299, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_104644,results/runs/2026-01-13_104644,baseline_split80_permodel_lr__data_google_flan-t5-xxl,data/llm_pilot_data/raw_data/per_model/data_google_flan-t5-xxl.csv,,,,,"{'summary': 'results/runs/2026-01-13_104644/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104644/predictions'}",lr,Target_throughput_tokens_per_sec,0.2,42.0,"[77922, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_104644_1,results/runs/2026-01-13_104644_1,baseline_split80_permodel_lr__data_google_flan-ul2,data/llm_pilot_data/raw_data/per_model/data_google_flan-ul2.csv,,,,,"{'summary': 'results/runs/2026-01-13_104644_1/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104644_1/predictions'}",lr,Target_throughput_tokens_per_sec,0.2,42.0,"[45856, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_104644_2,results/runs/2026-01-13_104644_2,baseline_split80_permodel_lr__data_ibm_mpt-7b-instruct2,data/llm_pilot_data/raw_data/per_model/data_ibm_mpt-7b-instruct2.csv,,,,,"{'summary': 'results/runs/2026-01-13_104644_2/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104644_2/predictions'}",lr,Target_throughput_tokens_per_sec,0.2,42.0,"[19086, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_104645,results/runs/2026-01-13_104645,baseline_split80_permodel_lr__data_llama-13b,data/llm_pilot_data/raw_data/per_model/data_llama-13b.csv,,,,,"{'summary': 'results/runs/2026-01-13_104645/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104645/predictions'}",lr,Target_throughput_tokens_per_sec,0.2,42.0,"[119291, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_104646,results/runs/2026-01-13_104646,baseline_split80_permodel_lr__data_llama-7b,data/llm_pilot_data/raw_data/per_model/data_llama-7b.csv,,,,,"{'summary': 'results/runs/2026-01-13_104646/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104646/predictions'}",lr,Target_throughput_tokens_per_sec,0.2,42.0,"[171218, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_104647,results/runs/2026-01-13_104647,baseline_split80_permodel_ridge__data_EleutherAI_gpt-neox-20b,data/llm_pilot_data/raw_data/per_model/data_EleutherAI_gpt-neox-20b.csv,,,,,"{'summary': 'results/runs/2026-01-13_104647/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104647/predictions'}",ridge,Target_throughput_tokens_per_sec,0.2,42.0,"[89719, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_104647_1,results/runs/2026-01-13_104647_1,baseline_split80_permodel_ridge__data_Salesforce_codegen2-16B,data/llm_pilot_data/raw_data/per_model/data_Salesforce_codegen2-16B.csv,,,,,"{'summary': 'results/runs/2026-01-13_104647_1/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104647_1/predictions'}",ridge,Target_throughput_tokens_per_sec,0.2,42.0,"[6025, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_104648,results/runs/2026-01-13_104648,baseline_split80_permodel_ridge__data_bigcode_starcoder,data/llm_pilot_data/raw_data/per_model/data_bigcode_starcoder.csv,,,,,"{'summary': 'results/runs/2026-01-13_104648/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104648/predictions'}",ridge,Target_throughput_tokens_per_sec,0.2,42.0,"[134772, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_104648_1,results/runs/2026-01-13_104648_1,baseline_split80_permodel_ridge__data_bigscience_mt0-xxl,data/llm_pilot_data/raw_data/per_model/data_bigscience_mt0-xxl.csv,,,,,"{'summary': 'results/runs/2026-01-13_104648_1/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104648_1/predictions'}",ridge,Target_throughput_tokens_per_sec,0.2,42.0,"[10706, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_104649,results/runs/2026-01-13_104649,baseline_split80_permodel_ridge__data_google_flan-t5-xl,data/llm_pilot_data/raw_data/per_model/data_google_flan-t5-xl.csv,,,,,"{'summary': 'results/runs/2026-01-13_104649/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104649/predictions'}",ridge,Target_throughput_tokens_per_sec,0.2,42.0,"[138299, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_104649_1,results/runs/2026-01-13_104649_1,baseline_split80_permodel_ridge__data_google_flan-t5-xxl,data/llm_pilot_data/raw_data/per_model/data_google_flan-t5-xxl.csv,,,,,"{'summary': 'results/runs/2026-01-13_104649_1/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104649_1/predictions'}",ridge,Target_throughput_tokens_per_sec,0.2,42.0,"[77922, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_104650,results/runs/2026-01-13_104650,baseline_split80_permodel_ridge__data_google_flan-ul2,data/llm_pilot_data/raw_data/per_model/data_google_flan-ul2.csv,,,,,"{'summary': 'results/runs/2026-01-13_104650/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104650/predictions'}",ridge,Target_throughput_tokens_per_sec,0.2,42.0,"[45856, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_104650_1,results/runs/2026-01-13_104650_1,baseline_split80_permodel_ridge__data_ibm_mpt-7b-instruct2,data/llm_pilot_data/raw_data/per_model/data_ibm_mpt-7b-instruct2.csv,,,,,"{'summary': 'results/runs/2026-01-13_104650_1/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104650_1/predictions'}",ridge,Target_throughput_tokens_per_sec,0.2,42.0,"[19086, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_104650_2,results/runs/2026-01-13_104650_2,baseline_split80_permodel_ridge__data_llama-13b,data/llm_pilot_data/raw_data/per_model/data_llama-13b.csv,,,,,"{'summary': 'results/runs/2026-01-13_104650_2/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104650_2/predictions'}",ridge,Target_throughput_tokens_per_sec,0.2,42.0,"[119291, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_104651,results/runs/2026-01-13_104651,baseline_split80_permodel_ridge__data_llama-7b,data/llm_pilot_data/raw_data/per_model/data_llama-7b.csv,,,,,"{'summary': 'results/runs/2026-01-13_104651/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104651/predictions'}",ridge,Target_throughput_tokens_per_sec,0.2,42.0,"[171218, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_104652,results/runs/2026-01-13_104652,baseline_split80_permodel_rf_light__data_EleutherAI_gpt-neox-20b,data/llm_pilot_data/raw_data/per_model/data_EleutherAI_gpt-neox-20b.csv,,,,,"{'summary': 'results/runs/2026-01-13_104652/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104652/predictions'}",rf_light,Target_throughput_tokens_per_sec,0.2,42.0,"[89719, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_104653,results/runs/2026-01-13_104653,baseline_split80_permodel_rf_light__data_Salesforce_codegen2-16B,data/llm_pilot_data/raw_data/per_model/data_Salesforce_codegen2-16B.csv,,,,,"{'summary': 'results/runs/2026-01-13_104653/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104653/predictions'}",rf_light,Target_throughput_tokens_per_sec,0.2,42.0,"[6025, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_104653_1,results/runs/2026-01-13_104653_1,baseline_split80_permodel_rf_light__data_bigcode_starcoder,data/llm_pilot_data/raw_data/per_model/data_bigcode_starcoder.csv,,,,,"{'summary': 'results/runs/2026-01-13_104653_1/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104653_1/predictions'}",rf_light,Target_throughput_tokens_per_sec,0.2,42.0,"[134772, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_104654,results/runs/2026-01-13_104654,baseline_split80_permodel_rf_light__data_bigscience_mt0-xxl,data/llm_pilot_data/raw_data/per_model/data_bigscience_mt0-xxl.csv,,,,,"{'summary': 'results/runs/2026-01-13_104654/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104654/predictions'}",rf_light,Target_throughput_tokens_per_sec,0.2,42.0,"[10706, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_104654_1,results/runs/2026-01-13_104654_1,baseline_split80_permodel_rf_light__data_google_flan-t5-xl,data/llm_pilot_data/raw_data/per_model/data_google_flan-t5-xl.csv,,,,,"{'summary': 'results/runs/2026-01-13_104654_1/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104654_1/predictions'}",rf_light,Target_throughput_tokens_per_sec,0.2,42.0,"[138299, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_104655,results/runs/2026-01-13_104655,baseline_split80_permodel_rf_light__data_google_flan-t5-xxl,data/llm_pilot_data/raw_data/per_model/data_google_flan-t5-xxl.csv,,,,,"{'summary': 'results/runs/2026-01-13_104655/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104655/predictions'}",rf_light,Target_throughput_tokens_per_sec,0.2,42.0,"[77922, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_104656,results/runs/2026-01-13_104656,baseline_split80_permodel_rf_light__data_google_flan-ul2,data/llm_pilot_data/raw_data/per_model/data_google_flan-ul2.csv,,,,,"{'summary': 'results/runs/2026-01-13_104656/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104656/predictions'}",rf_light,Target_throughput_tokens_per_sec,0.2,42.0,"[45856, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_104656_1,results/runs/2026-01-13_104656_1,baseline_split80_permodel_rf_light__data_ibm_mpt-7b-instruct2,data/llm_pilot_data/raw_data/per_model/data_ibm_mpt-7b-instruct2.csv,,,,,"{'summary': 'results/runs/2026-01-13_104656_1/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104656_1/predictions'}",rf_light,Target_throughput_tokens_per_sec,0.2,42.0,"[19086, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_104657,results/runs/2026-01-13_104657,baseline_split80_permodel_rf_light__data_llama-13b,data/llm_pilot_data/raw_data/per_model/data_llama-13b.csv,,,,,"{'summary': 'results/runs/2026-01-13_104657/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104657/predictions'}",rf_light,Target_throughput_tokens_per_sec,0.2,42.0,"[119291, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_104658,results/runs/2026-01-13_104658,baseline_split80_permodel_rf_light__data_llama-7b,data/llm_pilot_data/raw_data/per_model/data_llama-7b.csv,,,,,"{'summary': 'results/runs/2026-01-13_104658/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104658/predictions'}",rf_light,Target_throughput_tokens_per_sec,0.2,42.0,"[171218, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_104659,results/runs/2026-01-13_104659,baseline_split80_permodel_nn__data_EleutherAI_gpt-neox-20b,data/llm_pilot_data/raw_data/per_model/data_EleutherAI_gpt-neox-20b.csv,,,,,"{'summary': 'results/runs/2026-01-13_104659/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104659/predictions'}",nn,Target_throughput_tokens_per_sec,0.2,42.0,"[89719, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_104705,results/runs/2026-01-13_104705,baseline_split80_permodel_nn__data_Salesforce_codegen2-16B,data/llm_pilot_data/raw_data/per_model/data_Salesforce_codegen2-16B.csv,,,,,"{'summary': 'results/runs/2026-01-13_104705/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104705/predictions'}",nn,Target_throughput_tokens_per_sec,0.2,42.0,"[6025, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_104706,results/runs/2026-01-13_104706,baseline_split80_permodel_nn__data_bigcode_starcoder,data/llm_pilot_data/raw_data/per_model/data_bigcode_starcoder.csv,,,,,"{'summary': 'results/runs/2026-01-13_104706/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104706/predictions'}",nn,Target_throughput_tokens_per_sec,0.2,42.0,"[134772, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_104713,results/runs/2026-01-13_104713,baseline_split80_permodel_nn__data_bigscience_mt0-xxl,data/llm_pilot_data/raw_data/per_model/data_bigscience_mt0-xxl.csv,,,,,"{'summary': 'results/runs/2026-01-13_104713/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104713/predictions'}",nn,Target_throughput_tokens_per_sec,0.2,42.0,"[10706, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_104716,results/runs/2026-01-13_104716,baseline_split80_permodel_nn__data_google_flan-t5-xl,data/llm_pilot_data/raw_data/per_model/data_google_flan-t5-xl.csv,,,,,"{'summary': 'results/runs/2026-01-13_104716/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104716/predictions'}",nn,Target_throughput_tokens_per_sec,0.2,42.0,"[138299, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_104724,results/runs/2026-01-13_104724,baseline_split80_permodel_nn__data_google_flan-t5-xxl,data/llm_pilot_data/raw_data/per_model/data_google_flan-t5-xxl.csv,,,,,"{'summary': 'results/runs/2026-01-13_104724/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104724/predictions'}",nn,Target_throughput_tokens_per_sec,0.2,42.0,"[77922, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_104727,results/runs/2026-01-13_104727,baseline_split80_permodel_nn__data_google_flan-ul2,data/llm_pilot_data/raw_data/per_model/data_google_flan-ul2.csv,,,,,"{'summary': 'results/runs/2026-01-13_104727/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104727/predictions'}",nn,Target_throughput_tokens_per_sec,0.2,42.0,"[45856, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_104731,results/runs/2026-01-13_104731,baseline_split80_permodel_nn__data_ibm_mpt-7b-instruct2,data/llm_pilot_data/raw_data/per_model/data_ibm_mpt-7b-instruct2.csv,,,,,"{'summary': 'results/runs/2026-01-13_104731/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104731/predictions'}",nn,Target_throughput_tokens_per_sec,0.2,42.0,"[19086, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_104733,results/runs/2026-01-13_104733,baseline_split80_permodel_nn__data_llama-13b,data/llm_pilot_data/raw_data/per_model/data_llama-13b.csv,,,,,"{'summary': 'results/runs/2026-01-13_104733/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104733/predictions'}",nn,Target_throughput_tokens_per_sec,0.2,42.0,"[119291, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_104738,results/runs/2026-01-13_104738,baseline_split80_permodel_nn__data_llama-7b,data/llm_pilot_data/raw_data/per_model/data_llama-7b.csv,,,,,"{'summary': 'results/runs/2026-01-13_104738/summary.csv', 'predictions_dir': 'results/runs/2026-01-13_104738/predictions'}",nn,Target_throughput_tokens_per_sec,0.2,42.0,"[171218, 53]",19.0,8.0,1.0,False,,,,,,
2026-01-13_114915,results/runs/2026-01-13_114915,,,,,,,,lr,Target_throughput_tokens_per_sec,,,,,,,,,2026-01-13_114915,per_model_baseline_split80,data/llm_pilot_data/raw_data/per_model,results/runs/2026-01-13_114915/permodel_split80_baseline_summary_lr.csv,10.0
2026-01-13_114920,results/runs/2026-01-13_114920,,,,,,,,ridge,Target_throughput_tokens_per_sec,,,,,,,,,2026-01-13_114920,per_model_baseline_split80,data/llm_pilot_data/raw_data/per_model,results/runs/2026-01-13_114920/permodel_split80_baseline_summary_ridge.csv,10.0
2026-01-13_114925,results/runs/2026-01-13_114925,,,,,,,,rf_light,Target_throughput_tokens_per_sec,,,,,,,,,2026-01-13_114925,per_model_baseline_split80,data/llm_pilot_data/raw_data/per_model,results/runs/2026-01-13_114925/permodel_split80_baseline_summary_rf_light.csv,10.0
2026-01-13_114932,results/runs/2026-01-13_114932,,,,,,,,nn,Target_throughput_tokens_per_sec,,,,,,,,,2026-01-13_114932,per_model_baseline_split80,data/llm_pilot_data/raw_data/per_model,results/runs/2026-01-13_114932/permodel_split80_baseline_summary_nn.csv,10.0
2026-01-13_115017,results/runs/2026-01-13_115017,,,,,,,,llm_pilot,Target_throughput_tokens_per_sec,,,,,,,,,2026-01-13_115017,per_model_baseline_split80,data/llm_pilot_data/raw_data/per_model,results/runs/2026-01-13_115017/permodel_split80_baseline_summary_llm_pilot.csv,10.0
